adulterant_or_substitute,food,distinct_articles,share_of_candidate_food_links_pct,candidate_total_food_link_articles
formalin/formaldehyde,kalakand,1,7.14,14
ghee,Khoya/mawa,1,7.14,14
ghee,tirumala srivari laddu,1,7.14,14
formalin/formaldehyde,Khoya/mawa,1,7.14,14
poison,Milk,11,84.62,13
artificial colours,Mustard oil,2,15.38,13
artificial colours,fruit juices,2,15.38,13
lead,protein powder,2,15.38,13
artificial colours,spices,2,15.38,13
artificial colours,ginger garlic paste,1,7.69,13
lead,baby food,1,7.69,13
lead,mashed sweet potatoes,1,7.69,13
lead,dark chocolate,1,7.69,13
lead,organic dark chocolate,1,7.69,13
poison,cold drink,1,7.69,13
lead,vegetables,1,7.69,13
lead,Milk,1,7.69,13
lead,protein supplements,1,7.69,13
lead,maggi noodles,1,7.69,13
artificial colours,edible oils,1,7.69,13
artificial colours,adulterated chilli powder,1,7.69,13
artificial colours,dry fruits,1,7.69,13
lead,drinking water,1,7.69,13
lead,food grains,1,7.69,13
poison,Curd/yoghurt,1,7.69,13
artificial colours,jam,1,7.69,13
artificial colours,motichoor laddu,1,7.69,13
artificial colours,fast food,1,7.69,13
lead,ground spices,1,7.69,13
harmful chemicals,Paneer,3,25.0,12
harmful chemicals,Ghee,2,16.67,12
harmful chemicals,Milk,2,16.67,12
harmful chemicals,osmania biscuits,1,8.33,12
harmful chemicals,tap water,1,8.33,12
harmful chemicals,fruits and vegetables,1,8.33,12
harmful chemicals,edible oils,1,8.33,12
harmful chemicals,Edible/cooking oil,1,8.33,12
caustic soda,Milk,8,72.73,11
synthetic ghee,Ghee,7,63.64,11
synthetic colours,sweets,4,36.36,11
fungus,Khoya/mawa,3,27.27,11
artificial colour,Ghee,3,27.27,11
fungus,Curd/yoghurt,3,27.27,11
artificial colour,chilli powder,2,18.18,11
fungus,almonds,2,18.18,11
synthetic ghee,laddu prasadam,2,18.18,11
caustic soda,Paneer,2,18.18,11
arsenic,protein powder,2,18.18,11
arsenic,water,2,18.18,11
heavy metals,edible oils,2,18.18,11
artificial colour,artificially coloured supari,1,9.09,11
heavy metals,garlic,1,9.09,11
heavy metals,counterfeit mysore sandal soap,1,9.09,11
artificial colour,dry fruits,1,9.09,11
heavy metals,Milk,1,9.09,11
synthetic colours,Ghee,1,9.09,11
synthetic colours,Milk,1,9.09,11
synthetic colours,colour infused sweets,1,9.09,11
synthetic ghee,Milk,1,9.09,11
heavy metals,Ghee,1,9.09,11
artificial colour,sweets,1,9.09,11
synthetic colours,cake,1,9.09,11
arsenic,rice cereal,1,9.09,11
heavy metals,leafy greens,1,9.09,11
heavy metals,baby food,1,9.09,11
arsenic,rice,1,9.09,11
arsenic,food,1,9.09,11
arsenic,protein supplements,1,9.09,11
synthetic colours,Paneer,1,9.09,11
synthetic colours,ginger garlic paste,1,9.09,11
heavy metals,fruits,1,9.09,11
synthetic ghee,Tirupati laddu,1,9.09,11
arsenic,drinking water,1,9.09,11
heavy metals,protein powders,1,9.09,11
arsenic,tender coconut,1,9.09,11
arsenic,Milk,1,9.09,11
artificial colour,Mustard oil,1,9.09,11
fungus,sonpapdi,1,9.09,11
artificial colour,artificial coloured rice,1,9.09,11
artificial colour,petha,1,9.09,11
heavy metals,Edible/cooking oil,1,9.09,11
synthetic colours,balushahi,1,9.09,11
fungus,barfi,1,9.09,11
fungus,boondi laddoo,1,9.09,11
caustic soda,namkeen,1,9.09,11
coconut oil,Ghee,10,100.0,10
fake ghee,Ghee,9,90.0,10
cheese analogue,Paneer,9,90.0,10
hydrogen peroxide,Milk,9,90.0,10
argemone oil,Mustard oil,8,80.0,10
monoglycerides,Ghee,7,70.0,10
acetic acid,Ghee,5,50.0,10
acetic acid,ginger garlic paste,3,30.0,10
dust,Paneer,3,30.0,10
dust,red chilli powder,2,20.0,10
dust,Edible/cooking oil,2,20.0,10
acetic acid,Paneer,2,20.0,10
fake ghee,laddu prasadam,1,10.0,10
monoglycerides,Coconut oil,1,10.0,10
monoglycerides,Palm oil,1,10.0,10
monoglycerides,palm kernel oil,1,10.0,10
dust,khoa,1,10.0,10
microplastics,bottled water,1,10.0,10
microplastics,seafood,1,10.0,10
microplastics,poultry,1,10.0,10
microplastics,fruits,1,10.0,10
microplastics,vegetables,1,10.0,10
microplastics,prepared foods,1,10.0,10
microplastics,coffee,1,10.0,10
microplastics,packaged table salt,1,10.0,10
microplastics,tea,1,10.0,10
dust,tea powder,1,10.0,10
microplastics,food,1,10.0,10
dust,oil,1,10.0,10
argemone oil,Edible/cooking oil,1,10.0,10
hydrogen peroxide,Paneer,1,10.0,10
argemone oil,Soybean oil,1,10.0,10
cheese analogue,Cheese,1,10.0,10
skimmed milk powder,Paneer,4,44.44,9
skimmed milk powder,Khoya/mawa,2,22.22,9
skimmed milk powder,Cheese,2,22.22,9
skimmed milk powder,Milk,1,11.11,9
rice bran oil,Mustard oil,6,75.0,8
carbonate neutraliser,Paneer,4,50.0,8
carbonate neutraliser,Milk,4,50.0,8
adulterants,Ghee,3,37.5,8
metanil yellow,turmeric,3,37.5,8
synthetic dyes,dried kiwi slices,2,25.0,8
synthetic dyes,confectionery items,2,25.0,8
adulterants,Paneer,2,25.0,8
synthetic food colours,jalebi,2,25.0,8
synthetic food colours,laddus,2,25.0,8
synthetic food colours,koya,2,25.0,8
synthetic dyes,green peas,1,12.5,8
adulterants,Khoya/mawa,1,12.5,8
adulterants,processed food,1,12.5,8
synthetic food colours,sweets,1,12.5,8
adulterants,Milk,1,12.5,8
synthetic dyes,mithais,1,12.5,8
cadmium,dark chocolate,1,12.5,8
cadmium,protein supplements,1,12.5,8
cadmium,fish,1,12.5,8
cadmium,octopus,1,12.5,8
cadmium,squid,1,12.5,8
metanil yellow,sweets,1,12.5,8
cadmium,protein powder,1,12.5,8
metanil yellow,chilli powder,1,12.5,8
cadmium,drinking water,1,12.5,8
cadmium,food grains,1,12.5,8
metanil yellow,turmeric powder,1,12.5,8
synthetic food colours,chips,1,12.5,8
metanil yellow,Mustard oil,1,12.5,8
metanil yellow,Edible/cooking oil,1,12.5,8
synthetic dyes,tea powder,1,12.5,8
synthetic dyes,expired tea powder,1,12.5,8
rice bran oil,Palm oil,1,12.5,8
rice bran oil,gingelly oil,1,12.5,8
dalda,Ghee,7,100.0,7
glucose,Milk,6,85.71,7
monodiglycerides,Ghee,6,85.71,7
beta sitosterol,Ghee,6,85.71,7
lead chromate,turmeric,5,71.43,7
spurious ghee,Ghee,5,71.43,7
substandard ingredients,Tirupati laddu,3,42.86,7
mercury,fish,3,42.86,7
substandard ingredients,sweets,3,42.86,7
contaminant,Milk,3,42.86,7
substandard ingredients,tirupati laddus,1,14.29,7
beta sitosterol,sri vyshnavi dairy specialities,1,14.29,7
monodiglycerides,bhole baba organic dairy,1,14.29,7
spurious ghee,laddus,1,14.29,7
spurious ghee,laddu,1,14.29,7
contaminant,buckwheat flour,1,14.29,7
mercury,large fish species,1,14.29,7
mercury,Milk,1,14.29,7
mercury,protein supplements,1,14.29,7
contaminant,groundnut,1,14.29,7
mercury,protein powder,1,14.29,7
lead chromate,chilli powder,1,14.29,7
lead chromate,turmeric powder,1,14.29,7
glucose,honey,1,14.29,7
contaminant,packaged drinking water,1,14.29,7
contaminant,rasgullas,1,14.29,7
foreign fats,Ghee,6,100.0,6
salt,Milk,6,100.0,6
hydrogenated fats,Ghee,5,83.33,6
adulterated substance,Ghee,5,83.33,6
essence,Ghee,5,83.33,6
sunflower oil,Ghee,4,66.67,6
cheese analog,Paneer,4,66.67,6
foreign fat,Ghee,3,50.0,6
cottonseed oil,Ghee,3,50.0,6
foreign fat,Milk,2,33.33,6
cheese analog,Cheese,2,33.33,6
bacteria,Milk,2,33.33,6
antibiotic residue,eggs,2,33.33,6
cottonseed oil,Mustard oil,1,16.67,6
adulterated substance,Paneer,1,16.67,6
antibiotic residue,seafood,1,16.67,6
antibiotic residue,Ghee,1,16.67,6
thallium,food,1,16.67,6
bacteria,water,1,16.67,6
thallium,fish,1,16.67,6
bacteria,Paneer,1,16.67,6
antibiotic residue,Milk,1,16.67,6
bacteria,tap water,1,16.67,6
antibiotic residue,poultry,1,16.67,6
bacteria,food left at room temperature,1,16.67,6
thallium,water,1,16.67,6
thallium,tender coconut,1,16.67,6
thallium,Milk,1,16.67,6
thallium,fish curry,1,16.67,6
cottonseed oil,edible oils,1,16.67,6
foreign fat,Paneer,1,16.67,6
hydrogenated fats,Coconut oil,1,16.67,6
essence,Mustard oil,1,16.67,6
sunflower oil,olive oil,1,16.67,6
cottonseed oil,Palm oil,1,16.67,6
sunflower oil,Coconut oil,1,16.67,6
β sitosterol,Ghee,5,100.0,5
maltodextrin,Milk,5,100.0,5
ghee essence,Ghee,5,100.0,5
unknown contaminant,Milk,4,80.0,5
chemical substances,mangoes,4,80.0,5
calcium carbide,mangoes,4,80.0,5
synthetic milk,Paneer,3,60.0,5
preservatives,Ghee,3,60.0,5
sugar,honey,3,60.0,5
oxytocin,vegetables,3,60.0,5
total polar compounds,Edible/cooking oil,3,60.0,5
methanol,illicit liquor,2,40.0,5
methanol,spurious liquor,2,40.0,5
brick powder,spices,2,40.0,5
sugar,Milk,2,40.0,5
diethylene glycol,cough syrup,2,40.0,5
oxytocin,Milk,2,40.0,5
brick powder,chilli powder,2,40.0,5
preservatives,ginger garlic paste,1,20.0,5
chemical substances,Ghee,1,20.0,5
unknown contaminant,Paneer,1,20.0,5
synthetic milk,Khoya/mawa,1,20.0,5
total polar compounds,oil,1,20.0,5
rhodamine B,fish,1,20.0,5
diethylene glycol,cofset,1,20.0,5
synthetic milk,Milk,1,20.0,5
diethylene glycol,syrup,1,20.0,5
calcium carbide,fruits,1,20.0,5
diethylene glycol,medicinal syrups,1,20.0,5
rhodamine B,cotton candy,1,20.0,5
rhodamine B,sweets,1,20.0,5
listeria,Milk,1,20.0,5
listeria,leafy greens,1,20.0,5
listeria,pre cut fruits,1,20.0,5
brick powder,turmeric,1,20.0,5
rhodamine B,turmeric,1,20.0,5
rhodamine B,chilli powder,1,20.0,5
preservatives,Milk,1,20.0,5
listeria,Paneer,1,20.0,5
listeria,Cheese,1,20.0,5
methanol,ethanol,1,20.0,5
total polar compounds,Palm oil,1,20.0,5
ghee flavour,Ghee,4,100.0,4
analogue paneer,Paneer,4,100.0,4
synthetic essence,Ghee,4,100.0,4
unspecified adulterant in ghee,Ghee,4,100.0,4
lactic acid,Ghee,4,100.0,4
artificial essence,Ghee,4,100.0,4
sodium hydrogen carbonate,Milk,4,100.0,4
tallow,Ghee,3,75.0,4
soybean,Ghee,3,75.0,4
potato,Ghee,3,75.0,4
sweet potato,Ghee,3,75.0,4
mosquitoes,Ghee,3,75.0,4
colour,Ghee,3,75.0,4
soap,Milk,3,75.0,4
trans fatty acids,Ghee,2,50.0,4
starchy substances,Ghee,2,50.0,4
chemical additives,Ghee,2,50.0,4
groundnut oil,Ghee,2,50.0,4
cheap oils,Ghee,2,50.0,4
cheap oils,Milk,2,50.0,4
cheaper oils,Ghee,2,50.0,4
starchy substances,Milk,2,50.0,4
rotten eggs,cakes and buns,2,50.0,4
sodium benzoate,cakes and buns,2,50.0,4
paraffin wax,Ghee,2,50.0,4
artificial dyes,mithai,2,50.0,4
washing soda,Paneer,2,50.0,4
sand,Edible/cooking oil,2,50.0,4
maida,ginger garlic paste,1,25.0,4
cheaper oils,edible oils,1,25.0,4
non milk raw materials,Ghee,1,25.0,4
non milk raw materials,Paneer,1,25.0,4
non milk raw materials,Cheese,1,25.0,4
non milk raw materials,Milk,1,25.0,4
potato,Khoya/mawa,1,25.0,4
sweet potato,Khoya/mawa,1,25.0,4
trans fatty acids,vanaspati,1,25.0,4
soap,Khoya/mawa,1,25.0,4
