keyword_or_keyphrase,extraction_method,frequency,score,example_article_number,example_article_title,example_url,category,recommended_for_mediacloud
uttar pradesh food safety,yake,1,0.984244,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,incident/action phrase,no
west bengal,rule_based,1,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,location,no
without valid,phrase_frequency,1,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
action taken,phrase_frequency,0,,,,,other_candidate,no
adulterated ghee oil,phrase_frequency; tfidf,0,0.114289,,,,incident/action phrase,no
canva upfsda,tfidf,0,0.179378,,,,other_candidate,no
canva upfsda upfsda,tfidf,0,0.179378,,,,other_candidate,no
canva upfsda upfsda february,tfidf,0,0.179378,,,,other_candidate,no
commissioner food,phrase_frequency; tfidf,0,0.080282,,,,other_candidate,no
commissioner food safety,phrase_frequency; tfidf,0,0.080282,,,,enforcement/evidence,no
crackdown food,phrase_frequency,0,,,,,enforcement/evidence,no
crackdown food adulteration,phrase_frequency,0,,,,,incident/action phrase,no
creams sauces,phrase_frequency,0,,,,,other_candidate,no
credits fssai,tfidf,0,0.179378,,,,enforcement/evidence,no
credits fssai canva,tfidf,0,0.179378,,,,enforcement/evidence,no
credits fssai canva upfsda,tfidf,0,0.179378,,,,enforcement/evidence,no
february pic,tfidf,0,0.179378,,,,other_candidate,no
february pic twitter,tfidf,0,0.179378,,,,other_candidate,no
february pic twitter com/uj3ip5tpis,tfidf,0,0.179378,,,,other_candidate,no
flour ginger-garlic,phrase_frequency,0,,,,,other_candidate,no
food safety standards,phrase_frequency,0,,,,,enforcement/evidence,no
fssai canva,tfidf,0,0.179378,,,,enforcement/evidence,no
fssai canva upfsda,tfidf,0,0.179378,,,,enforcement/evidence,no
fssai canva upfsda upfsda,tfidf,0,0.179378,,,,enforcement/evidence,no
ghee oil,phrase_frequency; tfidf,0,0.160005,,,,oil/product,no
items including,phrase_frequency,0,,,,,other_candidate,no
items including bakery,phrase_frequency,0,,,,,other_candidate,no
kilograms adulterated,phrase_frequency,0,,,,,adulteration/fraud,no
kilograms adulterated ghee,phrase_frequency,0,,,,,incident/action phrase,no
kilograms wheat,phrase_frequency,0,,,,,other_candidate,no
kilograms wheat operation,phrase_frequency,0,,,,,other_candidate,no
litre selling,tfidf,0,0.075345,,,,other_candidate,no
litres edible,phrase_frequency; tfidf,0,0.077598,,,,other_candidate,no
litres edible oil,phrase_frequency; tfidf,0,0.077598,,,,oil/product,no
litres oil,phrase_frequency,0,,,,,other_candidate,no
litres oil kilograms,phrase_frequency,0,,,,,other_candidate,no
major success seizing,phrase_frequency,0,,,,,other_candidate,no
oil kilograms,phrase_frequency,0,,,,,other_candidate,no
