keyword_or_keyphrase,extraction_method,frequency,score,example_article_number,example_article_title,example_url,category,recommended_for_mediacloud
found,yake,22,0.984848,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
department,yake,16,0.98085,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
tea,yake,16,0.973847,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
kera,yake,14,0.984498,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,other_candidate,no
products,yake,14,0.972479,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
edible,phrase_frequency; tfidf; yake,13,0.971495,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
milk,yake,12,0.964264,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
team,yake,12,0.967581,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
officials,yake,11,0.961546,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
police,yake,11,0.967637,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
samples,phrase_frequency; tfidf; yake,11,0.960615,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
paneer,phrase_frequency; rule_based; tfidf,10,0.275458,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,oil/product,no
coconut,phrase_frequency; tfidf,9,0.230871,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,other_candidate,no
fsda,yake,9,0.972921,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,other_candidate,no
oils,phrase_frequency; tfidf; yake,7,0.973035,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
warehouse,rule_based,7,,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,enforcement/evidence,no
raided,phrase_frequency; tfidf,6,0.127528,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
food products,phrase_frequency; tfidf; yake,5,0.986563,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
food safety department,phrase_frequency; rule_based; tfidf; yake,5,0.997737,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,enforcement/evidence,no
fsda team,phrase_frequency; tfidf; yake,5,0.978092,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,other_candidate,no
hyderabad,rule_based,5,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,location,no
mawa,phrase_frequency; rule_based; tfidf,5,0.180338,6,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,oil/product,no
mustard,phrase_frequency; tfidf,5,0.11663,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,other_candidate,no
safety department,phrase_frequency; tfidf; yake,5,0.98701,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
tea powder,phrase_frequency; tfidf,5,0.109401,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
jaipur,rule_based,4,,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,location,no
manufacturing unit,phrase_frequency,4,,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
pokaran,rule_based,4,,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,location,no
team raided,phrase_frequency; tfidf,4,0.090251,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
worth rs,tfidf,4,0.094391,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
edible oils,phrase_frequency; yake,3,0.974055,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
food safety and standards,yake,3,0.985462,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,enforcement/evidence,no
food safety officer,phrase_frequency; rule_based; tfidf; yake,3,0.995568,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,enforcement/evidence,no
fsda team raided,phrase_frequency; tfidf; yake,3,0.970667,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,other_candidate,no
ginger-garlic paste,phrase_frequency; tfidf,3,0.085485,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
ice creams,phrase_frequency; tfidf,3,0.078492,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
india,rule_based,3,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,location,no
kanpur,rule_based,3,,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,location,no
kerala,rule_based,3,,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,location,no
lodha colony,phrase_frequency,3,,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
manufacturing units,phrase_frequency,3,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
noida,rule_based,3,,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,location,no
oil manufacturing,phrase_frequency; yake,3,0.967549,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
olive oil,phrase_frequency; tfidf,3,0.082637,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,other_candidate,no
safety officer,phrase_frequency; tfidf; yake,3,0.974977,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
seizing,phrase_frequency; tfidf,3,0.085485,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
special team,phrase_frequency,3,,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,other_candidate,no
unsafe,rule_based,3,,6,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,adulteration/fraud,no
vegetable,phrase_frequency; tfidf,3,0.082637,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,other_candidate,no
arrested,rule_based,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,enforcement/evidence,no
authorities found,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
bakery products,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
commissioner of food safety,yake,2,0.971032,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,enforcement/evidence,no
contaminated,rule_based,2,,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,adulteration/fraud,no
counterfeit,rule_based,2,,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,adulteration/fraud,no
expired tea,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
food safety commissioner,yake,2,0.990945,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,enforcement/evidence,no
highly unhygienic,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
including bakery,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
including bakery products,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
inspection,rule_based,2,,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,enforcement/evidence,no
large quantity,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
life threatening,tfidf,2,0.075345,11,15000 litres of adulterated cooking oil seized by FSSAI,https://timesofindia.indiatimes.com/life-style/food-news/15000-litres-of-adulterated-cooking-oil-seized-by-fssai/photostory/70872567.cms,other_candidate,no
major success,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
meat products,phrase_frequency,2,,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,other_candidate,no
